FILE,RIGA APPROX,CODICE DA RIMUOVERE,MOTIVO,ADATTAMENTO FXML/CSS
KitchenController.java,250-300,"private HBox createOrderCard(Order order) { intero metodo }","Crea HBox/VBox/Label/Button programmaticamente","Crea OrderCard.fxml con <HBox styleClass='order-card'> <VBox fx:id='leftInfo'/> <Button fx:id='btnDone' styleClass='btn-ready'/> </HBox>. Nel controller: carica con FXMLLoader e popola dati"
KitchenController.java,260,"card.setStyle('-fx-background-color: white; -fx-background-radius: 8; ...')","Stile inline","CSS: .order-card { -fx-background-color: white; -fx-background-radius: 8; ... }"
KitchenController.java,270,"lblTitle.setStyle('-fx-font-size: 18px; -fx-font-weight: bold; -fx-text-fill: #333')","Stile Label","<Label fx:id='lblTitle' styleClass='title-label'/> + CSS .title-label { ... }"
KitchenController.java,275,"lblTime.setStyle('-fx-text-fill: #888; -fx-font-size: 12px')","Stile Label","<Label fx:id='lblTime' styleClass='time-label'/> + CSS .time-label { ... }"
KitchenController.java,290,"itemLbl.setStyle('-fx-font-size: 14px; -fx-font-weight: bold; -fx-text-fill: #444')","Stile item Label","<Label styleClass='item-label'/> in OrderCard.fxml + CSS .item-label { ... }"
KitchenController.java,295,"lblNote.setStyle('-fx-text-fill: #D32F2F; -fx-font-weight: bold; ...')","Stile nota","<Label fx:id='lblNote' styleClass='note-label'/> + CSS .note-label { -fx-text-fill: #D32F2F; ... }"
KitchenController.java,300,"btnDone.setStyle(...) + setOnMouseEnter/Exit","Stile e effetti Button","<Button styleClass='btn-ready'/> + CSS .btn-ready { ... } .btn-ready:hover { ... }"
KitchenController.java,150,"itemChangePassword.setStyle('-fx-font-size: 14px; ...')","Stile MenuItem","CSS .context-menu .menu-item { -fx-font-size: 14px; ... }"
KitchenController.java,180,"empty.setStyle('-fx-font-size: 18px; ...')","Stile empty Label","<Label styleClass='empty-state'/> + CSS .empty-state { ... }"
OrderDetailController.java,100-150,"private VBox createInfoSection() { intero metodo }","Crea VBox/Label programmaticamente","Espandi OrderDetailView.fxml con <VBox styleClass='info-section'> <Label styleClass='label-bold'/> ... </VBox>. Controller popola testi"
OrderDetailController.java,110,"lblDateLabel.setStyle('-fx-font-weight: bold; -fx-font-size: 14px')","Stile label","styleClass='label-bold' + CSS .label-bold { ... }"
OrderDetailController.java,120,"lblTableValue.setStyle('-fx-font-size: 18px; -fx-text-fill: #2196F3; ...')","Stile valore","styleClass='table-value' + CSS .table-value { ... }"
OrderDetail
ProductRowController.java,40,"root.setStyle(\"-fx-background-color: #F9F9F9;\")","Hover gestito via codice","Usa CSS: .row-item:hover { -fx-background-color: #F9F9F9; } e rimuovi onHover/onExit dal controller/FXML"
ProductRowController.java,47,"root.setStyle(\"-fx-background-color: white;\")","Ripristino stile via codice","Stile base in CSS: .row-item { -fx-background-color: white; }"
UsersView.fxml,15,"Label style=\"-fx-font-size: 24px;\"","Style inline titolo","Rimuovi style e usa styleClass=\"text-title-large\" + CSS .text-title-large { -fx-font-size: 24px; }"
UsersView.fxml,16,"Label style=\"-fx-font-size: 14px;\"","Style inline sottotitolo","Rimuovi style e usa styleClass=\"text-muted-small\" + CSS .text-muted-small { -fx-font-size: 14px; }"
UsersView.fxml,28,"TableView style=\"-fx-background-color: transparent;\"","Style inline TableView","Rimuovi style e usa styleClass=\"table-transparent\" + CSS .table-transparent { -fx-background-color: transparent; }"
UsersView.fxml,52,"Button onAction=\"#handleDelete\" style=\"-fx-background-color: #E02E2E; -fx-text-fill: white; -fx-cursor: hand;\"","Style inline bottone rosso","Rimuovi style, lascia styleClass=\"btn-primary\" e aggiungi una classe dedicata es. \"btn-danger\" in CSS"
WaiterView.fxml,24,"StackPane fx:id=\"profileBtn\" style=\"-fx-cursor: hand;\"","Style inline cursor","Rimuovi style, usa classe .profile-btn { -fx-cursor: hand; }"
WaiterView.fxml,29,"Circle fill=\"CORNFLOWERBLUE\" stroke=\"TOMATO\" strokeWidth=\"0\"","Colori inline","Rimuovi attributi di stile e usa styleClass=\"profile-circle\" + CSS .profile-circle { -fx-fill: CORNFLOWERBLUE; -fx-stroke: TOMATO; }"
WaiterView.fxml,36,"Label fx:id=\"lblHeaderName\" style=\"-fx-font-size: 16px;\"","Style inline label","Rimuovi style, usa solo styleClass=\"text-title\" oppure nuova classe .header-name"
WaiterView.fxml,37,"Label fx:id=\"lblHeaderRole\" style=\"-fx-font-size: 14px;\"","Style inline label","Rimuovi style, usa styleClass=\"text-body\" o nuova classe .header-role"
WaiterView.fxml,40,"Label fx:id=\"lblWelcomeTop\" style=\"-fx-text-fill: #888; -fx-padding: 0 0 0 20; -fx-font-style: italic;\"","Style inline testo welcome","Rimuovi style, usa styleClass=\"welcome-subtitle\" + CSS (.welcome-subtitle { ... })"
WaiterView.fxml,64,"Button fx:id=\"btnNewOrder\" style=\"-fx-background-color: #2B2B2B; -fx-text-fill: white; -fx-background-radius: 15; -fx-font-size: 16px; -fx-font-weight: bold; -fx-min-width: 140; -fx-min-height: 60; -fx-cursor: hand;\"","Style inline bottone principale","Rimuovi style e usa styleClass=\"waiter-main-btn\" + CSS"
WaiterView.fxml,67,"Label text=\"table\" style=\"-fx-font-size: 14px;\"","Style inline label","Rimuovi style, usa styleClass=\"text-body\" o nuova classe .waiter-label"
WaiterView.fxml,70,"TextField fx:id=\"txtTable\" style=\"-fx-background-color: white; -fx-background-radius: 10; -fx-border-color: #DDD; -fx-border-radius: 10; -fx-min-width: 200; -fx-font-size: 14px;\"","Style inline TextField","Rimuovi style, usa styleClass=\"waiter-table-input\" + CSS"
